,Song,Composer,Singer
0,Love Me Do,McCartney,Lennon/McCartney
1,P.S. I Love You,McCartney,McCartney
2,Please Please Me,Lennon,Lennon/McCartney
3,Ask Me Why,Lennon,Lennon
4,There´s a Place,Lennon,Lennon
5,I Saw Her Standing There,McCartney,McCartney
6,Do You Want to Know a Secret,Lennon,Harrison
14,Hold Me Tight,McCartney,McCartney
15,It Won´t Be Long,Lennon,Lennon
16,All My Loving,McCartney,McCartney
19,All I´ve Got to Do,Lennon,Lennon
20,Not a Second Time,Lennon,Lennon
29,I Call Your Name,Lennon,Lennon
32,Can´t Buy Me Love,McCartney,McCartney
33,You Can´t Do That,Lennon,Lennon
34,And I Love Her,McCartney,McCartney
35,I Should Have Known Better,Lennon,Lennon
36,Tell Me Why,Lennon,Lennon
37,If I fell,Lennon,Lennon/McCartney
38,I´m Happy Just to Dance With You,Lennon,Harrison
39,A Hard Day´s Night,Lennon,Lennon/McCartney
40,I´ll Cry Instead,Lennon,Lennon
41,I´ll Be Back,Lennon,Lennon
42,Any Time at All,Lennon,Lennon
43,Things We Said Today,McCartney,McCartney
44,When I Get Home,Lennon,Lennon
46,I´m a Loser,Lennon,Lennon
47,Every Little Thing,McCartney,Lennon
48,I Don´t Want to Spoil the Party,Lennon,Lennon/Harrison
49,What You´re Doing,McCartney,McCartney
50,No Reply,Lennon,Lennon
51,Eight Days a Week,McCartney,Lennon/McCartney
52,I´ll Follow the Sun,McCartney,McCartney
59,Ticket to Ride,Lennon,Lennon
60,Another Girl,McCartney,McCartney
62,The Night Before,McCartney,McCartney
64,You´ve Got to Hide Your Love Away,Lennon,Lennon
65,Tell Me What You See,McCartney,McCartney
66,You´re Going to Lose That Girl,Lennon,Lennon
67,Help!,Lennon,Lennon
68,I´ve Just Seen a Face,McCartney,McCartney
69,Yesterday,McCartney,McCartney
70,It´s Only Love,Lennon,Lennon
74,Run for Your Life,Lennon,Lennon
75,Norwegian Wood (This Bird Has Flown),Lennon,Lennon
76,Drive My Car,McCartney,Lennon/McCartney
79,Nowhere Man,Lennon,Lennon
80,I´m Looking Through You,McCartney,McCartney
81,Michelle,McCartney,McCartney
85,You Won´t See Me,McCartney,McCartney
86,Girl,Lennon,Lennon
