Song, Composer 
Love Me Do,McCartney
P.S. I Love You,McCartney
Please Please Me,Lennon
Ask Me Why,Lennon
There´s a Place,Lennon
I Saw Her Standing There,McCartney
Do You Want to Know a Secret,Lennon
Misery,Lennon/McCartney
A Taste of Honey,Scott/Marlow
Anna (Go to Him),Alexander
Boys,Dixon/Farrell
Chains,Goffin/King
Baby It´s You,David/Williams/Bacharach
Twist and Shout,Medley/Russel
Hold Me Tight,McCartney
It Won´t Be Long,Lennon
All My Loving,McCartney
I Wanna Be Your Man,Lennon/McCartney
Little Child,Lennon/McCartney
All I´ve Got to Do,Lennon
Not a Second Time,Lennon
Don´t Bother Me,Harrison
Roll Over Beethoven,Berry
You Really Got a Hold on Me,Robinson
Money (That´s What I Want),Bradford/Gordy
Devil in Her Heart,Drapkin
Till There Was You,Wilson
Please Mr Postman,Holland/Bateman/Garrett/Dobbins/Gorman
Long Tall Sally,Johnson/Penniman/Blackwell
I Call Your Name,Lennon
Matchbox,Perkins
Slow Down,Williams
Can´t Buy Me Love,McCartney
You Can´t Do That,Lennon
And I Love Her,McCartney
I Should Have Known Better,Lennon
Tell Me Why,Lennon
If I fell,Lennon
I´m Happy Just to Dance With You,Lennon
A Hard Day´s Night,Lennon
I´ll Cry Instead,Lennon
I´ll Be Back,Lennon
Any Time at All,Lennon
Things We Said Today,McCartney
When I Get Home,Lennon
Baby´s in Black,Lennon/McCartney
I´m a Loser,Lennon
Every Little Thing,McCartney
I Don´t Want to Spoil the Party,Lennon
What You´re Doing,McCartney
No Reply,Lennon
Eight Days a Week,McCartney
I´ll Follow the Sun,McCartney
Mr Moonlight,Johnson
Kansas City/Hey  Hey  Hey  Hey,Leiber/Stoller/Penniman
Everybody´s Trying to Be My Baby,Perkins
Rock and Roll Music,Berry
Words of Love,Holly
Honey Don´t,Perkins
Ticket to Ride,Lennon
Another Girl,McCartney
I Need You,Harrison
The Night Before,McCartney
You Like Me Too Much,Harrison
You´ve Got to Hide Your Love Away,Lennon
Tell Me What You See,McCartney
You´re Going to Lose That Girl,Lennon
Help!,Lennon
I´ve Just Seen a Face,McCartney
Yesterday,McCartney
It´s Only Love,Lennon
