Composer,Lyrics
Lennon,It s been a hard day s night And I ve been working like a dog It s been a hard day s night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright You know I work all day To get you money to buy you things And it s worth it just to hear you say You re gonna give me everything So why on Earth should I moan Cause when I get you alone You know I feel okay When I m home Everything seems to be right When I m home Feeling you holding me tight tight yeah It s been a hard day s night And I ve been working like a dog It s been a hard day s night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright Ah So why on Earth should I moan Cause when I get you alone You know I feel okay When I m home Everything seems to be right When I m home Feeling you holding me tight tight yeah It s been a hard day s night And I ve been working like a dog It s been a hard day s night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright You know I feel alright You know I feel alright
Lennon,Words are flowing out like endless rain into a paper cup They slither wildly as they slip away across the universe Pools of sorrow waves of joy are drifting through my opened mind Possessing and caressing me Jai Guru Deva Om Nothing s gonna change my world Nothing s gonna change my world Nothing s gonna change my world Nothing s gonna change my world Images of broken light which dance before me like a million eyes They call me on and on across the universe Thoughts meander like a restless wind inside a letter box They tumble blindly as they make their way across the universe Jai Guru Deva Om Nothing s gonna change my world Nothing s gonna change my world Nothing s gonna change my world Nothing s gonna change my world Sounds of laughter shades of life are ringing through my open ears Inciting and inviting me Limitless undying love which shines around me like a million suns It calls me on and on across the universe Jai Guru Deva Om Nothing s gonna change my world Nothing s gonna change my world Nothing s gonna change my world Nothing s gonna change my world Jai Guru Deva Jai Guru Deva Jai Guru Deva Jai Guru Deva Jai Guru Deva Jai Guru Deva
Lennon,Whenever I want you around yeah All I got to do Is call you on the phone And you ll come running home Yeah that s all I got to do And when I I want to kiss you yeah All I got to do Is whisper in your ear The words you long to hear And I ll be kissin you And the same goes for me Whenever you want me at all I ll be here yes I will Whenever you call You just got to call on me yeah You just got to call on me And when I I want to kiss you yeah All I got to do Is call you on the phone And you ll come runnin home Yeah that s all I got to do And the same goes for me Whenever you want me at all I ll be here yes I will Whenever you call You just got to call on me yeah You just got to call on me
Lennon,Love love love Love love love Love love love There s nothing you can do that can t be done Nothing you can sing that can t be sung Nothing you can say but you can learn how to play the game It s easy Nothing you can make that can t be made No one you can save that can t be saved Nothing you can do but you can learn how to be you in time It s easy All you need is love All you need is love All you need is love love Love is all you need Love love love Love love love Love love love All you need is love All you need is love All you need is love love Love is all you need There s nothing you can know that isn t known Nothing you can see that isn t shown There s nowhere you can be that isn t where you re meant to be It s easy All you need is love All you need is love All you need is love love Love is all you need All you need is love All you need is love All you need is love love Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Oh love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need Love is all you need
Lennon,Tell me that you ve got everything you want And your bird can sing But you don t get me You don t get me You say you ve seen seven wonders And your bird is green But you can t see me You can t see me When your prized possessions Start to weigh you down Look in my direction I ll be round I ll be round When your bird is broken Will it bring you down You may be awoken I ll be round I ll be round You tell me that you ve heard every sound there is And your bird can swing But you can t hear me You can t hear me
Lennon,Any time at all Any time at all Any time at all all you gotta do is call And I ll be there If you need somebody to love just look into my eyes I ll be there to make you feel right If you re feeling sorry and sad I d really sympathize Don t you be sad just call me tonight Any time at all Any time at all Any time at all all you gotta do is call And I ll be there If the sun has faded away I ll try to make it shine There is nothing I won t do When you need a shoulder to cry on I hope it will be mine Call me tonight and I ll come to you Any time at all Any time at all Any time at all all you gotta do is call And I ll be there Any time at all Any time at all Any time at all all you gotta do is call And I ll be there Any time at all all you gotta do is call And I ll be there
Lennon,I love you cause you tell me things I want to know And it s true that it really only goes to show that I know That I I I I should never never never be blue Now you re mine my happiness still makes me cry And in time you ll understand the reason why if I cry It s not because I m sad but you re the only love that I ve ever had I can t believe it s happened to me I can t conceive of any more misery Ask me why I ll say I love you and I m always thinking of you hoo hoo hoo I love you cause you tell me things I want to know And it s true that it really only goes to show That I know that I I I I should never never never be blue Ask me why I ll say I love you and I m always thinking of you hoo hoo hoo I can t believe it s happened to me I can t conceive of any more misery Ask me why I ll say I love you and I m always thinking of you hoo hoo hoo You hoo hoo hoo you hoo hoo hoo
Lennon,Ah Because the world is round It turns me on Because the world is round Ah Because the wind is high It blows my mind Because the wind is high Ah Love is old Love is new Love is all Love is you Because the sky is blue It makes me cry Because the sky is blue Ah Ah Ah Ah
Lennon,For the benefit of Mr Kite There will be a show tonight on trampoline The Hendersons will all be there Late of Pablo Fanque s Fair what a scene Over men and horses hoops and garters Lastly through a hogshead of real fire In this way Mr K will challenge the world The celebrated Mr K Performs his feat on Saturday at Bishopsgate The Hendersons will dance and sing As Mr Kite flies through the ring don t be late Messrs K and H assure the public Their production will be second to none And of course Henry the Horse dances the waltz The band begins at ten to six When Mr K performs his tricks without a sound And Mr H will demonstrate Ten somersets he ll undertake on solid ground Having been some days in preparation A splendid time is guaranteed for all And tonight Mr Kite is topping the bill
Lennon,Shoot me Shoot me Shoot me Shoot me Here come old flat top he come grooving up slowly He got ju ju eyeball he one holy roller He got hair down to his knee Got to be a joker he just do what he please Shoot me Shoot me Shoot me Shoot me He wear no shoeshine he got toe jam football He got monkey finger he shoot Coca Cola He say I know you you know me One thing I can tell you is you got to be free Come together right now Over me Shoot me Shoot me Shoot me Shoot me He bag production he got walrus gumboot He got Ono sideboard he one spinal cracker He got feet down below his knee Hold you in his armchair you can feel his disease Come together right now Over me Shoot me Right Come come come come come He roller coaster he got early warnin He got muddy water he one mojo filter He say One and one and one is three Got to be good lookin cause he s so hard to see Come together right now Over me Shoot me Shoot me Shoot me Oh Come together yeah Come together yeah Come together yeah Come together yeah Come together yeah Come together yeah Come together yeah Oh Come together yeah Come together yeah
