Label,admin,albarn,album,asked,awards,badfinger,band,bass,beatles,benny,brit,changed,come,country,couple,danger,days,didn,doing,drummer,episode,fast,film,frenemy,friends,german,good,guitar,guitarist,hear,heard,heavy,important,including,itvx,just,know,koze,later,lead,leadon,leak,life,like,little,lives,long,looked,lotus,love,make,matt,mccartney,metal,middle,mike,missing,molland,music,night,online,petty,place,play,played,player,playing,randall,really,right,said,sang,says,scandal,seen,selena,short,signal,singer,single,sleeping,song,songs,sources,spreadsheet,stage,stories,sure,time,told,took,trending,trump,want,watch,white,world,yeah,year,years
john,1,0,0,0,0,0,2,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,5,1,0,0,0,0,1,0,0,1,1,2,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1
john,1,0,1,0,0,9,5,0,3,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,4,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,10,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
john,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1
john,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,2,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,4,1,1,4,1,0,1,0,3,1,1,0,0,3,0,0,0,1
john,1,0,2,0,14,0,0,0,2,0,12,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,7,2,1,0,0,0,0,1,1,3,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,7,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,1,4,0,1,1,0,1,1,2,0,0,1,1,1,6,1,1,0,16,1
john,1,0,0,7,0,0,13,15,5,0,0,1,4,10,2,1,5,16,6,5,1,6,0,1,2,0,8,8,7,3,9,2,1,0,0,8,11,0,6,5,12,2,6,17,6,1,11,14,1,0,4,0,1,1,3,7,1,0,5,5,0,16,2,18,18,11,12,34,5,5,38,9,0,1,1,0,4,1,7,2,3,10,3,1,1,2,2,5,12,6,4,1,1,4,0,2,4,7,3,2
john,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,7,0,2,1,0,0,4,0,0,0,0,1,1,0,0,4,0,0,1,0,0,1,1,5,0,2,0,0,1,1,2,9,0,1,0,0,1,0,0,0,0,0,1,0,2,2,6,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,2,0,0,0,3
john,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0
john,1,0,7,0,1,0,0,0,0,8,0,1,1,0,2,1,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,5,1,0,0,0,0,1,2,5,1,1,2,0,1,8,2,0,0,1,3,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,3,1,0,1,0,14,1,1,0,0,1,1,1,1,1,0,2,0,2,0,0,1,1,2,0,1,2,0,0,4
john,1,7,7,1,0,0,1,0,2,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,3,8,1,0,0,5,0,1,1,1,0,6,2,35,3,2,0,1,2,5,2,1,4,0,1,3,7,0,0,1,0,0,1,0,19,1,0,0,3,0,3,0,3,0,4,1,2,0,15,1,3,0,2,1,1,3,1,3,2,1,1,2,2,1,7,2,2,1,1,0,1,2,4,2,2,8
